goos: darwin
goarch: amd64
pkg: github.com/bloxapp/ssv/protocol/v2/types
cpu: Intel(R) Core(TM) i7-8700B CPU @ 3.20GHz
BenchmarkVerifyBLS-12                 	    1236	    970856 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyBLS-12                 	    1239	   1005946 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyBLS-12                 	    1228	    981036 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyBLS-12                 	    1228	    972521 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyBLS-12                 	    1230	    975372 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyBLS-12                 	    1233	    990478 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyBLS-12                 	    1221	    971823 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyBLS-12                 	    1098	   1006696 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyBLS-12                 	    1238	    971087 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyBLS-12                 	    1237	    969725 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyPKCS1v15-12            	    5828	    204958 ns/op	     912 B/op	       6 allocs/op
BenchmarkVerifyPKCS1v15-12            	    5810	    204812 ns/op	     912 B/op	       6 allocs/op
BenchmarkVerifyPKCS1v15-12            	    5866	    205694 ns/op	     912 B/op	       6 allocs/op
BenchmarkVerifyPKCS1v15-12            	    5722	    205376 ns/op	     912 B/op	       6 allocs/op
BenchmarkVerifyPKCS1v15-12            	    5823	    204980 ns/op	     912 B/op	       6 allocs/op
BenchmarkVerifyPKCS1v15-12            	    5809	    205564 ns/op	     912 B/op	       6 allocs/op
BenchmarkVerifyPKCS1v15-12            	    5672	    205372 ns/op	     912 B/op	       6 allocs/op
BenchmarkVerifyPKCS1v15-12            	    5800	    204850 ns/op	     912 B/op	       6 allocs/op
BenchmarkVerifyPKCS1v15-12            	    5872	    205128 ns/op	     912 B/op	       6 allocs/op
BenchmarkVerifyPKCS1v15-12            	    5839	    204712 ns/op	     912 B/op	       6 allocs/op
BenchmarkVerifyPKCS1v15FastHash-12    	    5859	    213456 ns/op	     912 B/op	       6 allocs/op
BenchmarkVerifyPKCS1v15FastHash-12    	    5826	    204869 ns/op	     912 B/op	       6 allocs/op
BenchmarkVerifyPKCS1v15FastHash-12    	    5817	    204867 ns/op	     912 B/op	       6 allocs/op
BenchmarkVerifyPKCS1v15FastHash-12    	    5827	    208100 ns/op	     912 B/op	       6 allocs/op
BenchmarkVerifyPKCS1v15FastHash-12    	    5862	    204848 ns/op	     912 B/op	       6 allocs/op
BenchmarkVerifyPKCS1v15FastHash-12    	    5823	    205151 ns/op	     912 B/op	       6 allocs/op
BenchmarkVerifyPKCS1v15FastHash-12    	    5833	    212880 ns/op	     912 B/op	       6 allocs/op
BenchmarkVerifyPKCS1v15FastHash-12    	    5670	    205010 ns/op	     912 B/op	       6 allocs/op
BenchmarkVerifyPKCS1v15FastHash-12    	    5769	    205255 ns/op	     912 B/op	       6 allocs/op
BenchmarkVerifyPKCS1v15FastHash-12    	    5799	    205462 ns/op	     912 B/op	       6 allocs/op
BenchmarkVerifyPSS-12                 	    5769	    207217 ns/op	    1120 B/op	      11 allocs/op
BenchmarkVerifyPSS-12                 	    5701	    207115 ns/op	    1120 B/op	      11 allocs/op
BenchmarkVerifyPSS-12                 	    5760	    206877 ns/op	    1120 B/op	      11 allocs/op
BenchmarkVerifyPSS-12                 	    5754	    206870 ns/op	    1120 B/op	      11 allocs/op
BenchmarkVerifyPSS-12                 	    5803	    218085 ns/op	    1120 B/op	      11 allocs/op
